Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
Kava KAVA,0.98897,400439578,56902798,-4.82,-3.45,35.2,9.17019,-89.0
Celo CELO,0.81018,394919481,31780164,-1.96,4.79,47.85,10.0216,-92.0
Ravencoin RVN,0.03238,393678014,33909939,2.12,7.55,55.43,0.28489,-89.0
WOO Network WOO,0.23770,389911407,75763829,-10.11,19.81,43.04,1.77363,-87.0
Holo HOT,0.00220,382161614,19977901,-0.41,-1.1,40.32,0.03109,-93.0
Arweave AR,11.4359,381899258,62673797,-7.83,-8.58,53.12,97.3175,-88.0
NEM XEM,0.04200,377982386,20187472,-1.28,7.25,33.35,2.09188,-98.0
XinFin XDC,0.02690,371612760,2685722,-1.67,-7.33,2.28,0.19451,-86.0
Fetch FET,0.45341,371306239,285622723,-8.34,55.69,143.92,1.18568,-62.0
BinaryX BNX,127.030,366141031,84743470,15.0,37.06,73.1,227.596,-44.0
Decred DCR,24.8079,365221801,3436310,3.27,5.55,27.43,250.901,-90.0
MAGIC MAGIC,1.73172,362220674,212553326,-6.54,-4.26,233.87,2.15292,-19.0
Threshold T,0.04160,353386720,43203190,-5.98,-17.14,127.51,1.34774,-97.0
Harmony ONE,0.02672,349580562,54814486,-3.08,5.92,119.45,0.38340,-93.0
Gala GALA,0.04992,348308678,257584547,-7.09,-11.51,30.06,0.83431,-94.0
Theta Fuel TFUEL,0.05671,341637124,16994065,-1.24,0.79,54.86,0.68450,-92.0
JasmyCoin JASMY,0.00718,334765007,125783873,-5.47,26.98,85.83,0.32453,-98.0
Balancer BAL,6.90635,325128673,12945049,-1.96,-3.75,20.46,74.9195,-91.0
Qtum QTUM,3.09135,323135426,99529525,6.05,10.88,48.69,106.876,-97.0
ssv.network SSV,32.0120,320119794,67796197,12.38,24.32,148.04,36.1195,-12.0
Ocean Protocol OCEAN,0.51763,317357161,158815668,2.94,38.27,135.8,1.94072,-73.0
SushiSwap SUSHI,1.42579,316892751,74586665,-2.9,2.01,31.9,23.3559,-94.0
Kusama KSM,37.1225,314430875,30861284,1.78,-0.61,38.14,621.755,-94.0
Gnosis GNO,119.634,309803893,4390353,-1.31,-0.85,30.52,656.602,-82.0
Ankr ANKR,0.03196,308836663,211077816,3.68,13.27,66.08,0.22066,-85.0
Ethereum Name Service ENS,15.1559,306828780,54709075,-4.48,-10.07,26.83,60.5282,-75.0
Bitcoin Gold BTG,17.4586,305768628,10065836,1.28,1.73,24.71,539.720,-97.0
Astar ASTR,0.07445,302874284,193695642,16.64,22.3,83.78,0.09602,-23.0
IoTeX IOTX,0.03195,301456825,14734922,-2.87,3.22,31.64,0.29305,-89.0
STEPN GMT,0.49170,295020080,135967757,-7.89,-15.15,-1.05,0.00000,-25.0
Waves WAVES,2.64562,292386529,141607375,-3.76,-0.18,69.44,43.9530,-94.0
