Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
Moonbeam GLMR,0.51598,289808541,38792912,-1.09,10.09,55.44,0.55339,-7.0
Bone ShibaSwap BONE,1.72584,288857579,13040359,-3.67,16.17,82.14,3.74835,-61.0
yearn.finance YFI,7582.85,277818357,40737180,-2.98,-4.01,30.28,91384.35,-92.0
Audius AUDIO,0.28131,276796551,25756278,-7.98,-5.1,81.5,3.94627,-93.0
Livepeer LPT,10.1661,276795218,28598183,1.42,31.9,105.23,99.9529,-90.0
Mask Network MASK,4.05334,276437667,149968704,-8.28,-15.52,58.91,5.82151,-30.0
TerraUSD USTC,0.02788,273237933,33964083,-7.9,9.36,33.3,1.12191,-98.0
Injective INJ,3.69727,269921257,63842943,-5.25,-2.22,161.01,24.3327,-85.0
Chia Network XCH,41.4133,267182700,8712055,-0.42,-8.79,32.6,1648.56,-97.0
Band Protocol BAND,2.17289,266237037,49370410,-4.33,-3.33,41.56,23.1582,-91.0
Kadena KDA,1.20653,264957707,13135990,-3.56,-5.96,26.33,28.2238,-96.0
Golem GLM,0.26035,260351231,10167334,-1.42,6.6,31.77,1.25353,-79.0
JUST JST,0.02861,254726283,23636989,-1.73,3.6,33.59,0.19206,-85.0
Symbol XYM,0.04469,249503551,813349,-1.19,-5.18,32.05,0.53560,-92.0
Siacoin SC,0.00468,249388390,95548451,-4.73,40.59,84.88,0.11171,-96.0
OMG Network OMG,1.70417,239001570,62728488,3.07,13.82,45.73,28.3519,-94.0
Chain XCN,0.01113,238986192,10276690,0.23,-0.89,-4.87,0.09397,-88.0
Flux FLUX,0.86118,238159616,26738667,-7.25,-9.24,138.77,0.23598,-38.0
SwissBorg CHSB,0.23381,233807857,221703,-0.38,-2.46,2.21,1.64234,-87.0
Ontology ONT,0.24920,218115031,45595120,4.73,14.79,43.69,11.1766,-98.0
Dogelon Mars ELON,0.00000,217911983,5666789,-3.78,7.29,36.75,0.00000,-85.0
ICON ICX,0.22866,216437339,12043425,-0.81,2.12,40.97,12.6387,-98.0
IOStoken IOST,0.01151,215406467,20126155,1.05,14.44,44.9,0.13650,-92.0
0x ZRX,0.25322,214602509,23553953,-1.08,7.25,45.48,2.53141,-90.0
Hive HIVE,0.45129,208909985,17873797,-0.64,10.26,49.18,3.32209,-86.0
Reserve Rights RSR,0.00458,208796833,19614297,-2.21,4.68,35.39,0.12031,-96.0
Amp AMP,0.00492,207692522,8276896,-1.71,2.05,42.69,1.15540,-100.0
SafePal SFP,0.52429,193810916,13363162,-7.44,-14.61,27.76,0.95631,-45.0
BORA BORA,0.20827,193168971,19975903,-3.21,7.83,59.88,1.65231,-87.0
BICONOMY BICO,0.40140,193033426,7878370,-0.76,-4.56,30.84,5.08765,-92.0
Illuvium ILV,85.7541,187387435,43619035,-8.53,2.75,80.58,1376.73,-94.0
SKALE Network SKL,0.04457,186208772,20680241,6.29,17.32,81.23,1.23025,-96.0
WAX WAXP,0.07871,186178522,23539304,-1.83,-0.28,57.62,5.01221,-98.0
Everscale EVER,0.10363,179837915,5451993,0.54,-8.46,216.86,0.29563,-64.0
Polymath Network POLY,0.19116,176825985,586923,-1.15,1.76,17.74,1.65796,-88.0
Storj STORJ,0.42697,176313695,92408146,-8.41,4.76,50.59,3.72529,-89.0
Neutrino USD XTN,0.25827,175689963,267885,-13.11,-18.71,-26.02,12.8042,-98.0
iExec RLC RLC,2.13916,173271758,32824748,0.73,17.29,44.4,16.0603,-87.0
Solar SXP,0.31108,172413743,15964381,-2.5,2.34,36.63,5.87092,-95.0
DAO Maker DAO,1.19650,172227277,5470416,6.51,-0.22,,0.00010,-93.0
DigiByte DGB,0.01078,172216605,12808272,-3.83,-4.57,24.3,0.18120,-94.0
Keep Network KEEP,0.19714,169688289,2058759,-7.03,-18.09,137.76,1.23699,-83.0
OriginTrail TRAC,0.45826,167487177,7750176,11.7,90.97,147.66,3.23984,-86.0
Hooked Protocol HOOK,3.22939,161469604,304176464,-8.51,-5.35,,4.06636,-21.0
Synapse SYN,1.13418,158527509,7493212,-5.99,-1.1,,,
Secret SCRT,0.95170,155408235,16068054,12.63,18.46,38.52,10.6262,-91.0
ConstitutionDAO PEOPLE,0.03014,152499615,49830102,0.5,-1.37,26.12,0.18705,-84.0
Nervos Network CKB,0.00381,150795564,3883955,-2.73,-2.3,22.69,0.04404,-91.0
MetisDAO METIS,33.1651,146911618,9036138,-2.59,-14.19,67.48,322.353,-90.0
UMA UMA,2.12795,146716416,10140059,-1.93,0.08,23.98,43.7233,-95.0
Kyber Network KNC,0.88185,145411253,36264192,-3.95,4.72,57.88,6.00100,-85.0
Horizen ZEN,10.8837,145286505,31607473,-5.21,-0.33,27.03,167.763,-94.0
Braintrust BTRST,1.06690,143497637,940582,-1.57,-0.62,12.98,41.3867,-97.0
Merit Circle MC,0.40422,143397401,13995923,-1.27,4.71,43.05,3.32394,-88.0
Lisk LSK,1.10749,142756185,19372475,0.31,13.51,45.29,39.3100,-97.0
Celsius CEL,0.59376,141828448,3836077,-3.12,-1.48,9.97,8.03079,-93.0
Chromia CHR,0.20418,140177192,97045601,-4.91,13.85,68.35,11.6865,-98.0
Conflux Network CFX,0.06683,139724857,22057299,-1.73,-2.35,169.67,0.97212,-93.0
PlayDapp PLA,0.25742,138456226,23221573,-2.68,8.86,57.61,3.72467,-93.0
APENFT NFT,0.00000,136987781,17273843,-1.78,2.92,17.04,0.00001,-93.0
Stargate Finance STG,0.88402,136313302,123160292,3.01,18.8,136.07,1.15887,-23.0
API3 API3,1.89464,135937433,27902200,1.69,8.06,49.25,2.77687,-32.0
Smooth Love Potion SLP,0.00318,135139478,22441118,-4.45,0.16,34.02,0.35387,-99.0
Voyager Token VGX,0.47874,133320834,33886694,-4.69,-19.47,26.85,12.5387,-96.0
Ribbon Finance RBN,0.24816,131953000,989395,-7.25,-5.6,37.75,4.91164,-95.0
MediBloc MED,0.01909,131892426,5219262,-3.57,6.24,42.77,0.34906,-95.0
LooksRare LOOKS,0.27812,130588917,29957928,-7.44,28.39,67.1,5.81717,-95.0
Axelar AXL,0.83095,130002918,2722277,-9.06,26.18,,0.99629,-16.0
Ontology Gas ONG,0.39179,129882862,113493896,20.85,29.44,58.46,4.40012,-91.0
