rank,Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
0,Bitcoin BTC,21148.16,407390272875,21654921844,2.2,22.69,26.1,68692.14,-69
1,Ethereum ETH,1572.83,192473439935,7002871824,3.11,20.02,31.99,4864.11,-68
2,Tether USDT,1.00040,66382017772,31643505295,0.02,0.04,0.06,1.21549,-18
3,BNB BNB,305.479,48864965346,547387510,2.51,9.48,22.15,2466.70,-88
4,USD Coin USDC,0.99995,43930179486,2675371028,0.01,-0.01,0.09,1.90620,-48
5,XRP XRP,0.40155,20363886176,998907976,3.28,14.15,13.66,3.84194,-90
6,Binance USD BUSD,0.99991,16357026881,7778290249,0.02,-0.03,,1.17612,-15
7,Cardano ADA,0.36186,12490725261,359897560,4.51,9.2,33.84,3.09503,-88
8,Dogecoin DOGE,0.08681,11516890147,502473252,2.46,15.07,8.95,0.75287,-88
9,Polygon MATIC,1.02503,8952898986,499899716,5.85,18.94,24.57,2.91460,-65
10,Solana SOL,23.2753,8626316871,1421273650,1.97,42.21,85.51,259.705,-91
11,Polkadot DOT,5.98238,6914756440,282372269,1.74,21.18,27.38,55.0043,-89
12,Litecoin LTC,87.8324,6329523237,566951777,0.98,7.3,34.35,412.701,-79
13,SHIBA INU SHIB,0.00001,5915499518,436312309,6.7,21.2,22.06,0.00009,-88
14,Dai DAI,1.00024,5841890518,158834528,0.05,0.04,0.06,1.36678,-27
15,TRON TRX,0.06302,5790454954,255042856,2.15,13.58,14.78,0.30036,-79
16,Avalanche AVAX,16.9458,5279999554,480219526,3.03,36.01,41.49,145.665,-88
17,Uniswap UNI,6.63839,5059845805,115610576,1.52,15.72,23.0,45.0125,-85
18,Wrapped Bitcoin WBTC,21140.15,3880221991,92120045,2.26,22.74,26.02,68705.97,-69
19,Cosmos ATOM,12.8014,3665928039,166544380,1.73,15.67,44.98,44.5529,-71
20,Chainlink LINK,6.82990,3469588065,387329086,1.09,11.69,13.08,53.0122,-87
21,UNUS SED LEO LEO,3.51308,3351321847,1919626,1.81,1.77,-11.61,8.11487,-57
22,Monero XMR,174.985,3189554814,103620028,0.17,9.68,21.32,519.759,-66
23,Ethereum Classic ETC,22.5092,3122168798,226704289,2.48,5.3,38.83,167.082,-87
24,Toncoin TON,2.33085,2846904220,33457548,3.56,4.31,-32.39,15.3746,-91
25,Bitcoin Cash BCH,125.449,2419286018,216502838,0.88,18.3,21.51,4355.62,-97
26,Stellar XLM,0.08959,2347652556,74372495,2.95,12.39,17.81,0.93814,-90
27,NEAR Protocol NEAR,2.36866,2016997079,217535344,10.85,38.61,70.02,20.3955,-88
28,OKB OKB,31.7818,1906909607,21550337,0.41,16.37,41.78,44.1095,-28
29,Cronos CRO,0.07500,1894777518,23814869,-0.06,19.44,33.82,0.95855,-92
30,ApeCoin APE,5.21975,1885634038,207148502,3.29,11.88,47.27,7.15066,-27
31,Lido DAO Token LDO,2.18312,1798829763,216579364,-2.28,11.98,119.04,6.95936,-69
32,Algorand ALGO,0.23869,1717771864,107868270,3.8,15.62,22.71,2.64524,-91
33,Filecoin FIL,4.74553,1707467108,396830640,2.11,32.75,50.69,236.965,-98
34,Quant QNT,137.104,1655216110,36885649,6.68,16.32,24.91,426.180,-68
35,VeChain VET,0.02153,1561142427,54712423,4.47,22.59,27.15,0.27435,-92
36,Internet Computer ICP,5.15050,1462074327,55035166,-0.54,21.25,38.06,342.229,-98
37,Hedera HBAR,0.05314,1339148725,34693875,2.98,21.49,21.4,0.56614,-91
38,Decentraland MANA,0.71355,1323689960,958419958,25.71,78.44,112.1,5.85265,-88
39,EOS EOS,1.06925,1154744027,110412020,0.14,13.83,19.82,22.8904,-95
40,Aave AAVE,81.4084,1147304345,176415320,8.88,32.81,45.33,666.029,-88
41,Flow (Dapper Labs) FLOW,1.10093,1140779812,139942888,2.59,45.14,41.06,43.8585,-97
42,BitDAO BIT,0.53085,1109983544,20055157,0.53,17.5,86.22,3.08453,-83
43,Terra Classic LUNC,0.00018,1093392845,272119197,2.41,12.73,28.43,104.473,-100
44,The Sandbox SAND,0.71907,1078224494,538312340,12.2,35.9,49.58,8.59644,-92
45,Aptos APT,8.00111,1040144656,879499045,8.84,96.02,95.54,10.2229,-22
46,Elrond EGLD,41.3816,991800082,28092198,3.64,16.65,5.73,541.042,-92
47,Tezos XTZ,1.03451,955416317,50073893,1.84,24.13,22.05,12.1894,-92
48,Axie Infinity AXS,9.44648,949111404,150216647,4.18,28.41,35.83,164.876,-94
49,Theta THETA,0.93712,937124742,32013921,2.32,15.28,24.38,16.5852,-94
50,Chiliz CHZ,0.14063,935096832,136993050,2.6,22.98,17.61,0.89121,-84
51,Fantom FTM,0.33415,925198556,206412343,4.32,37.61,61.47,3.52667,-91
52,Paxos Standard USDP,1.00167,879546519,1444029,-0.11,-0.13,0.02,1.09061,-8
53,Bitcoin SV BSV,45.1393,869657938,41121153,1.37,1.29,-1.03,495.937,-91
54,TrueUSD TUSD,1.00021,848979127,39804608,0.06,-0.01,0.16,1.36449,-27
55,Huobi Token HT,5.18476,841143087,9664848,1.72,7.51,-8.09,39.6615,-87
56,KuCoin Token KCS,8.03547,790528599,1562747,3.39,16.93,23.44,28.8059,-72
57,The Graph GRT,0.08594,750543422,76875083,6.99,20.46,48.05,2.65929,-97
58,Zcash ZEC,45.2886,731328371,77089431,-1.43,2.46,4.94,5941.80,-99
59,USDD USDD,0.97477,707029387,12165340,0.33,-0.33,-0.57,1.00983,-4
60,BitTorrent BTT,0.00000,699601921,13581178,1.63,14.46,-19.26,0.01428,-100
61,Maker MKR,710.272,694383571,34623810,3.16,17.0,26.39,6302.63,-89
62,Frax Share FXS,9.48697,691993425,92094341,42.48,60.76,84.42,42.5624,-78
63,Trust Wallet Token TWT,1.59121,662978998,53925587,2.65,10.26,-7.26,2.73925,-42
64,PancakeSwap CAKE,3.79844,636655353,32790659,3.18,9.84,10.11,44.1414,-91
65,Gemini Dollar GUSD,1.00423,609618918,796829,0.22,-0.06,2.3,1.65168,-38
66,IOTA MIOTA,0.21649,601733338,16616662,2.17,16.46,25.55,5.69002,-96
67,Klaytn KLAY,0.19195,591428436,35446221,0.32,14.82,19.35,2.96753,-94
68,eCash XEC,0.00003,583855161,15700914,-0.68,21.92,20.17,0.00039,-92
69,THORChain RUNE,1.77338,579994135,64315428,1.72,21.38,81.52,21.2898,-54
70,Dash DASH,51.9499,576486369,97174895,1.41,4.31,20.28,1642.22,-97
71,Neo NEO,7.82176,551738111,35270733,3.43,13.88,16.5,196.853,-96
72,Synthetix SNX,2.20869,551548227,53170604,7.64,23.61,37.72,28.8622,-92
73,PAX Gold PAXG,1898.94,515112429,11015411,0.5,1.84,5.27,192278.70,-99
74,Mina MINA,0.56556,456765742,19809222,2.51,18.96,17.81,6.45649,-91
75,Immutable X IMX,0.59365,455016148,23517697,7.94,25.55,39.67,1.97054,-70
76,Curve DAO Token CRV,0.85360,453761790,98848978,7.72,35.01,52.02,6.73730,-87
77,Zilliqa ZIL,0.02797,443897207,83348079,8.68,22.08,42.51,0.26024,-89
78,GMX GMX,51.6730,433246258,15156660,1.25,25.13,6.96,59.8356,-14
79,EthereumPoW ETHW,3.94552,425402256,20283488,6.27,17.19,27.78,66.5061,-94
80,Osmosis OSMO,0.86294,425076243,12778897,1.34,14.45,10.99,3.22099,-73
81,Helium HNT,3.10675,424409628,9795458,14.32,59.8,79.67,54.7195,-94
82,Optimism OP,1.79437,421226277,236143593,7.99,35.36,88.3,1.87742,-4
83,Fei USD FEI,0.98831,420026822,1368744,-0.23,-1.08,0.39,1.04620,-4
84,GateToken GT,3.86832,418803466,627921,1.86,18.63,14.16,13.2873,-71
85,Nexo NEXO,0.73832,413461647,6919679,1.05,1.74,15.1,4.07458,-82
86,1inch 1INCH,0.50439,401375993,61321887,4.56,19.35,29.51,8.38468,-94
87,Compound COMP,52.7720,383502468,55277820,5.76,47.17,55.44,913.488,-94
88,Loopring LRC,0.28530,379481240,75114994,12.44,29.22,32.6,3.77569,-92
89,Enjin Coin ENJ,0.37234,372340587,55528314,9.04,30.02,40.44,4.83883,-92
90,Stacks STX,0.27489,371996076,25496442,3.94,19.76,15.49,3.24787,-92
91,Casper CSPR,0.03378,360387571,6157045,1.4,14.52,22.01,0.24006,-86
92,Celo CELO,0.74240,358763885,117094752,17.96,40.02,42.13,10.0216,-93
93,Basic Attention Token BAT,0.23547,353059118,39921417,5.0,21.0,22.67,1.91328,-88
94,Convex Finance CVX,4.83615,352093044,29452348,23.7,40.98,37.32,60.5055,-92
95,XinFin XDC,0.02765,340225046,2815981,0.11,4.25,17.47,0.19451,-86
96,Gala GALA,0.04875,340167204,448259689,4.15,31.77,134.32,0.83431,-94
97,WOO Network WOO,0.20542,336377802,47420611,13.42,31.07,69.1,1.77363,-88
98,Holo HOT,0.00193,333916060,25512543,4.83,24.23,24.23,0.03109,-94
99,NEM XEM,0.03697,332756910,14498083,2.26,21.26,20.38,2.09188,-98
