Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
Decentraland MANA,0.38529,714737497,64263052,-4.96,3.58,-42.07,5.85265,-93
KuCoin Token KCS,6.68200,657374104,1026911,-3.72,-0.94,-34.53,28.8059,-77
Axie Infinity AXS,6.48748,647413879,60190497,-2.7,2.9,-31.2,164.876,-96
Neutrino USD USDN,0.92844,631587549,2145391,1.55,2.59,-5.85,12.8042,-93
BitTorrent BTT,0.00000,630664679,12672881,-2.47,4.19,-19.26,0.01428,-100
Zcash ZEC,39.1577,618554494,33607771,-5.93,4.14,-28.71,5941.80,-99
Maker MKR,628.758,614693590,28298833,-3.64,-0.57,-32.45,6302.63,-90
Gemini Dollar GUSD,1.00938,612746228,919076,-0.24,0.36,0.51,1.65168,-39
BitDAO BIT,0.29087,608196341,5519360,-2.79,2.92,-34.52,3.08453,-91
PancakeSwap CAKE,3.89945,585072567,25298813,-3.66,5.32,-16.77,44.1414,-91
Aptos APT,4.48319,582814279,148770329,-10.31,12.24,-45.68,10.2229,-56
IOTA MIOTA,0.20687,575000179,7979295,-4.48,0.44,-20.06,5.69002,-96
PAX Gold PAXG,1740.76,566112898,6180569,-0.52,-0.36,6.44,192278.70,-99
eCash XEC,0.00003,542552173,7576083,-3.92,-0.19,-27.78,0.00039,-93
Klaytn KLAY,0.17384,525429062,20586158,-5.13,4.97,-43.13,2.96753,-94
Synthetix SNX,1.62920,500727911,15758521,-3.01,1.11,-36.26,28.8622,-94
Neo NEO,6.56088,462796714,19011439,-6.05,3.67,-25.11,196.853,-97
Fantom FTM,0.18051,459389583,58033306,-4.19,7.54,-20.78,3.52667,-95
Dash DASH,39.2570,432857787,61322253,-5.49,15.31,-9.34,1642.22,-98
Fei USD FEI,0.98726,419580180,4429886,-0.66,0.94,0.65,1.04620,-5
Mina MINA,0.54734,413475704,23172573,-0.81,5.7,-22.77,6.45649,-91
The Graph GRT,0.05984,412904349,42078757,-7.29,8.48,-29.71,2.65929,-98
BinaryX BNX,147.455,411035329,16702772,0.25,-3.77,-0.65,227.596,-35
GateToken GT,3.59850,389592047,937283,-1.91,3.57,-21.72,13.2873,-73
THORChain RUNE,1.15343,381426825,13539112,-3.74,2.67,81.52,21.2898,-54
Nexo NEXO,0.66672,373362448,6603951,-8.24,-1.03,-35.74,4.07458,-84
EthereumPoW ETHW,3.23563,347310189,11176137,-5.66,1.86,-52.97,66.5061,-95
Curve DAO Token CRV,0.64402,342351419,77719867,-9.19,27.85,-32.33,6.73730,-90
GMX GMX,42.5455,339967797,13868956,-5.46,5.83,-0.98,57.1237,-25
Basic Attention Token BAT,0.22104,330602771,18752726,-3.75,3.1,-27.81,1.91328,-88
Helium HNT,2.39772,320547803,2871798,-3.55,6.48,-43.41,54.7195,-96
Lido DAO Token LDO,1.02348,320299295,14833024,-6.45,-6.34,-38.6,6.95936,-85
Casper CSPR,0.03024,318547192,5874361,-2.3,11.77,-25.09,0.24006,-87
Celo CELO,0.67206,318138484,314076070,24.02,60.33,-4.84,10.0216,-93
Stacks STX,0.23582,317256611,15127691,0.02,6.0,-25.65,3.24787,-93
1inch 1INCH,0.51005,313488608,60164664,-2.25,2.65,-18.09,8.38468,-94
Loopring LRC,0.23049,306582564,21834253,-5.36,0.72,-19.15,3.77569,-94
Arweave AR,9.03058,301573560,23284304,-4.93,-2.77,-10.84,97.3175,-91
Zilliqa ZIL,0.02177,295826440,39386059,-3.63,5.82,-30.37,0.26024,-92
Enjin Coin ENJ,0.29259,292590249,15201366,-4.98,2.79,-36.21,4.83883,-94
Convex Finance CVX,4.07425,292352583,6396509,-6.63,13.94,-27.38,60.5055,-93
XinFin XDC,0.02351,289320027,2625364,-2.52,-4.33,-25.26,0.19451,-88
Immutable X IMX,0.41957,287781897,8212005,-3.26,10.44,-34.19,1.97054,-79
Decred DCR,19.3283,281011485,2889463,-5.04,3.75,-30.27,250.901,-92
NEM XEM,0.03120,280824536,8124610,-4.61,1.31,-20.19,2.09188,-98
Osmosis OSMO,0.98508,278251335,9970478,-5.1,-4.14,-36.21,3.22099,-69
Holo HOT,0.00157,271915571,16330208,-5.34,5.68,1.42,0.28971,-99
