Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
Bitcoin BTC,16187.27,311096240758,25151264548,-2.07,1.02,-22.22,68692.14,-76
Ethereum ETH,1171.73,143388955749,5881617451,-3.61,4.53,-27.83,4864.11,-76
Tether USDT,0.99965,65339551122,33771907120,0.01,0.08,0.1,1.21549,-18
BNB BNB,296.948,47503105451,1010257564,-5.84,15.04,-3.48,2466.70,-88
USD Coin USDC,1.00014,44264690243,2624246679,-0.01,-0.03,0.21,1.90620,-47
Binance USD BUSD,1.00023,22406706499,5653551672,-0.05,-0.07,0.27,1.17612,-15
XRP XRP,0.38111,19169483158,899698423,-4.71,8.53,-19.22,3.84194,-90
Dogecoin DOGE,0.09522,12632927733,2306580570,6.59,26.26,-26.03,0.75287,-87
Cardano ADA,0.30446,10483808021,232098987,-3.44,0.24,-27.42,3.09503,-90
Polygon MATIC,0.82082,7169268794,258449294,-3.57,3.91,-12.31,2.91460,-72
Polkadot DOT,5.12346,5842300621,163704741,-4.51,-1.84,-23.12,55.0043,-91
Dai DAI,0.99995,5653994582,157954283,-0.03,-0.04,0.19,1.36678,-27
Litecoin LTC,72.4525,5195400416,732414219,-6.48,20.45,27.11,412.701,-82
SHIBA INU SHIB,0.00001,4911653031,243590330,-2.09,4.26,-32.22,0.00009,-90
TRON TRX,0.05245,4833626296,250956525,-1.2,5.23,-18.17,0.30036,-82
Solana SOL,13.0811,4748879064,340366489,-8.33,11.81,-61.28,259.705,-95
UNUS SED LEO LEO,4.25038,4054667388,3181951,2.02,-4.17,-4.37,8.11487,-48
Uniswap UNI,5.23935,3993479210,66172402,-5.7,-1.03,-28.95,45.0125,-88
Avalanche AVAX,12.2157,3673308631,152323755,-5.26,3.32,-34.38,145.665,-92
Wrapped Bitcoin WBTC,16112.38,3516148216,150259071,-1.97,0.96,-22.49,68705.97,-76
Chainlink LINK,6.72006,3413791452,318963601,-6.71,18.29,-14.87,53.0122,-87
Cosmos ATOM,9.60190,2749699231,85593753,-6.24,6.25,-28.8,44.5529,-78
Ethereum Classic ETC,18.8404,2601160863,184525926,-6.0,6.62,-26.98,167.082,-89
Monero XMR,133.924,2438280019,67895658,-2.98,4.54,-10.58,519.759,-74
Stellar XLM,0.08702,2236179754,82098082,-2.34,2.88,-24.11,0.93814,-91
Toncoin TON,1.71929,2099943192,3898920,-0.33,0.66,-20.39,15.3746,-92
Bitcoin Cash BCH,107.475,2067941335,168824897,-5.0,4.64,-9.67,4355.62,-98
Algorand ALGO,0.23183,1649636500,66964774,-4.73,-6.25,-32.31,2.64524,-91
Cronos CRO,0.06200,1566325730,14664812,-4.09,-2.53,-43.51,0.95855,-94
Quant QNT,115.048,1388942711,28367194,-4.23,7.59,-29.71,426.180,-73
Filecoin FIL,4.20456,1375091326,131956473,-6.53,2.0,-26.09,236.965,-98
ApeCoin APE,3.73813,1350399886,218086213,-2.13,26.68,-25.78,7.15066,-48
VeChain VET,0.01824,1322616812,34667337,-4.02,3.08,-24.98,0.27435,-93
NEAR Protocol NEAR,1.52608,1268304058,98243102,-6.19,1.14,-51.47,20.3955,-93
OKB OKB,20.5006,1230038098,13910792,-2.5,3.12,26.73,44.1095,-54
Flow (Dapper Labs) FLOW,1.09427,1133883541,26831886,-3.32,-3.12,-38.24,43.8585,-98
Hedera HBAR,0.04794,1101173644,12397374,-3.42,5.65,-22.35,0.56614,-92
Internet Computer ICP,3.83025,1050589646,24641650,-3.87,6.77,-29.59,342.229,-99
Huobi Token HT,6.55008,1004505401,34049165,-9.3,50.79,-26.12,39.6615,-84
Elrond EGLD,41.7668,992022219,19100819,-5.36,1.15,-26.73,541.042,-92
Chiliz CHZ,0.16077,986635758,208722821,-7.03,-15.68,-19.76,0.89121,-82
EOS EOS,0.89925,967058043,133967939,-4.06,4.36,-21.34,22.8904,-96
Paxos Standard USDP,0.99989,945536744,1765235,0.03,0.46,0.78,1.09061,-8
Terra Classic LUNC,0.00016,942850883,109826635,-2.05,3.03,-34.61,104.473,-100
Theta THETA,0.91347,913471680,34188473,-1.1,9.8,-25.75,16.5852,-94
Tezos XTZ,0.96141,882365949,15426769,-2.91,1.36,-34.02,12.1894,-92
Aave AAVE,59.9886,845430539,103753051,-4.4,7.52,-30.31,666.029,-91
Chain XCN,0.03883,833777639,15344071,-5.28,-13.17,-14.81,0.09397,-59
The Sandbox SAND,0.54557,818071386,117627519,-4.98,3.47,-33.29,8.59644,-94
Trust Wallet Token TWT,1.94633,810937510,51450162,-1.39,2.28,68.77,2.73925,-29
TrueUSD TUSD,0.99934,807584960,30448435,0.02,-0.1,0.17,1.36449,-27
Bitcoin SV BSV,39.3118,756224844,41550555,-2.19,4.85,-18.79,495.937,-92
USDD USDD,0.99065,718551394,34415780,-0.13,0.21,-0.72,1.00983,-2
