Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
Chain XCN,0.02067,443748030,8303868,-3.68,-39.09,-51.78,0.09397,-78
THORChain RUNE,1.35465,443046516,33104345,1.98,-5.53,81.52,21.2898,-54
Fei USD FEI,0.99982,424919155,1785444,-0.02,0.78,-0.11,1.04620,-4
Synthetix SNX,1.58953,395445444,14230852,-1.77,-15.98,-1.67,28.8622,-94
GMX GMX,46.1642,386440570,10714806,1.64,-15.07,11.06,59.8356,-23
Mina MINA,0.47673,371842822,12872399,-0.66,-13.81,-7.65,6.45649,-93
GateToken GT,3.39805,367890127,2336682,0.31,-6.78,1.77,13.2873,-74
Neutrino USD USDN,0.53371,363065633,598881,-2.15,-25.43,-38.76,12.8042,-95
Osmosis OSMO,0.73584,362467757,9541354,-1.62,-19.33,-27.88,3.22099,-77
Nexo NEXO,0.63793,357242756,8765412,0.02,-3.15,-4.79,4.07458,-84
XinFin XDC,0.02800,344550242,3592203,6.06,24.32,16.4,0.19451,-86
Immutable X IMX,0.45763,334719260,11360838,-1.96,2.89,12.52,1.97054,-77
EthereumPoW ETHW,2.91943,314244814,11219827,-3.8,-19.57,-6.86,66.5061,-96
Stacks STX,0.22707,306445171,4896036,0.61,-21.81,6.41,3.24787,-93
1inch 1INCH,0.40033,306162785,12389390,1.71,-9.66,-21.7,8.38468,-95
Lido DAO Token LDO,0.95988,300395720,9340662,-2.51,-14.86,-13.1,10.5664,-91
Decred DCR,19.3542,282521243,1053938,2.2,-8.07,4.56,250.901,-92
Zilliqa ZIL,0.01772,281154713,14914249,-0.39,-20.44,-15.24,0.26024,-93
Basic Attention Token BAT,0.18595,277874608,12222175,1.02,-18.39,-14.5,1.91328,-90
Curve DAO Token CRV,0.52198,277474726,29597515,-1.49,-20.91,-2.11,6.73730,-92
Casper CSPR,0.02618,277443484,4550257,-0.43,-12.71,-5.41,0.24006,-89
Loopring LRC,0.20560,273478149,12903524,0.1,-18.98,-10.35,3.77569,-95
NEM XEM,0.02991,269186496,7037006,0.66,-11.64,-4.15,2.09188,-99
Enjin Coin ENJ,0.26004,260040731,8769244,0.96,-15.71,-8.35,4.83883,-95
Holo HOT,0.00148,255791277,9649466,0.2,-13.03,-50.85,0.28971,-100
Convex Finance CVX,3.49404,252374950,3499558,1.81,-13.14,-1.61,60.5055,-94
Balancer BAL,5.44224,250858354,5103754,0.39,-11.59,6.81,74.9195,-93
Kava KAVA,0.70693,250606260,17814200,0.03,-17.73,-15.52,9.17019,-92
Celo CELO,0.50387,241266998,8885318,-0.29,-9.58,11.4,10.0216,-95
Ravencoin RVN,0.01999,240110822,6040073,2.0,-10.1,-0.88,0.28489,-93
