rank,Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
58,Zcash ZEC,45.1558,729183588,77156384,-2.08,2.55,5.29,5941.80,-99
59,USDD USDD,0.97366,706226809,12167041,0.09,-0.37,-0.69,1.00983,-4
60,Frax Share FXS,9.53390,695416297,90404182,42.88,65.18,78.01,42.5624,-78
61,BitTorrent BTT,0.00000,699638908,13426730,1.46,14.32,-19.26,0.01428,-100
62,Maker MKR,707.978,692141107,34601747,2.38,16.25,27.66,6302.63,-89
63,Trust Wallet Token TWT,1.58422,660064521,53916351,1.5,9.0,-5.79,2.73925,-42
64,PancakeSwap CAKE,3.77943,633468271,32414168,2.43,9.05,11.59,44.1414,-91
65,Gemini Dollar GUSD,1.00810,611965339,804665,0.32,0.52,3.87,1.65168,-38
66,IOTA MIOTA,0.21521,598179793,16629515,1.02,15.49,26.16,5.69002,-96
67,Klaytn KLAY,0.19137,589629190,35320831,-0.26,14.46,19.84,2.96753,-94
68,eCash XEC,0.00003,580098651,16058585,-1.72,20.73,20.32,0.00039,-92
69,THORChain RUNE,1.76645,577728385,65284075,1.82,20.75,81.52,21.2898,-54
70,Dash DASH,51.7033,573749649,96823459,0.63,4.61,20.49,1642.22,-97
71,Neo NEO,7.78381,549060927,35325985,2.74,13.17,17.05,196.853,-96
72,Synthetix SNX,2.18126,544697926,53416432,5.89,21.96,36.16,28.8622,-92
73,PAX Gold PAXG,1897.21,514643314,11003472,0.37,1.72,5.02,192278.70,-99
74,Mina MINA,0.56187,453785659,19525249,1.53,18.35,17.02,6.45649,-91
75,Immutable X IMX,0.58794,450637974,23415279,6.5,25.34,38.94,1.97054,-70
76,Curve DAO Token CRV,0.84588,449657687,97819733,6.63,33.13,50.28,6.73730,-87
77,GMX GMX,51.5708,432389918,15089277,0.53,24.79,7.73,59.8356,-14
78,Zilliqa ZIL,0.02699,428261876,73993200,4.4,18.43,39.69,0.26024,-90
79,Osmosis OSMO,0.86051,423878164,12653145,1.13,13.99,10.74,3.22099,-73
80,Helium HNT,3.09339,422584684,9755691,12.88,58.63,82.31,54.7195,-94
81,Fei USD FEI,0.98782,419819874,1385149,-0.32,-1.12,0.05,1.04620,-4
82,GateToken GT,3.85989,417891090,627338,1.65,18.84,14.4,13.2873,-71
83,Optimism OP,1.78654,419386320,235549155,6.47,34.62,87.94,1.87742,-5
84,EthereumPoW ETHW,3.85452,415590498,19845440,3.61,14.28,27.78,66.5061,-94
85,Nexo NEXO,0.73643,412399778,6934372,0.71,1.75,14.31,4.07458,-82
86,1inch 1INCH,0.50144,399026653,61131093,4.16,18.67,29.61,8.38468,-94
87,Compound COMP,52.6998,382977269,55144946,5.81,46.9,56.83,913.488,-94
88,Loopring LRC,0.28300,376422815,74074329,11.51,28.43,32.73,3.77569,-93
89,Stacks STX,0.27398,370759893,25546523,3.53,19.38,15.31,3.24787,-92
90,Enjin Coin ENJ,0.36807,368069416,54999948,7.54,28.61,40.3,4.83883,-92
91,Celo CELO,0.74689,360930675,116029469,18.4,40.61,43.18,10.0216,-92
92,Casper CSPR,0.03365,358986881,6166714,1.2,14.06,22.02,0.24006,-86
93,Basic Attention Token BAT,0.23418,351121461,39874446,3.97,20.82,22.7,1.91328,-88
94,XinFin XDC,0.02769,340693576,2814344,0.58,4.74,18.29,0.19451,-86
95,Convex Finance CVX,4.71195,343050824,27827355,20.17,37.98,36.09,60.5055,-92
96,Gala GALA,0.04840,337694958,447918734,2.54,34.09,132.78,0.83431,-94
97,WOO Network WOO,0.20493,335564089,46754676,13.13,30.55,67.8,1.77363,-88
98,Holo HOT,0.00192,332957735,25312758,4.03,24.45,23.81,0.03109,-94
99,NEM XEM,0.03648,328291170,14932062,1.11,19.82,20.43,2.09188,-98
