rank,Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
0,Bitcoin BTC,21108.83,406632605357,21601309414,1.74,22.5,26.0,68692.14,-69
1,Ethereum ETH,1570.01,192128248340,6998860479,2.72,19.78,32.24,4864.11,-68
2,Tether USDT,1.00041,66382839669,31575017142,0.02,0.04,0.08,1.21549,-18
3,BNB BNB,304.646,48731830397,548166784,1.88,9.09,23.98,2466.70,-88
4,USD Coin USDC,0.99996,43931022453,2672830332,0.01,-0.01,-0.02,1.90620,-48
5,XRP XRP,0.40196,20384753991,981695839,3.1,13.85,14.19,3.84194,-90
6,Binance USD BUSD,0.99965,16352816911,7746266825,-0.03,-0.07,0.08,1.17612,-15
7,Cardano ADA,0.35738,12336292903,357627815,3.0,7.91,32.97,3.09503,-88
8,Dogecoin DOGE,0.08650,11475462642,502098868,1.78,14.7,9.29,0.75287,-89
9,Polygon MATIC,1.02121,8919577744,497476078,5.09,18.36,24.69,2.91460,-65
10,Solana SOL,23.2271,8608450579,1430137422,1.08,43.48,86.51,259.705,-91
11,Polkadot DOT,5.96529,6894997288,281221142,1.15,20.58,27.38,55.0043,-89
12,Litecoin LTC,87.5694,6310565500,565937655,0.65,6.99,35.26,412.701,-79
13,SHIBA INU SHIB,0.00001,5897620955,435307802,5.99,20.89,23.51,0.00009,-88
14,Dai DAI,0.99977,5839185907,157660990,-0.01,-0.04,-0.01,1.36678,-27
15,TRON TRX,0.06285,5774500109,254292027,1.72,13.21,14.77,0.30036,-79
16,Avalanche AVAX,16.8597,5253176252,481652910,2.07,35.19,40.83,145.665,-88
17,Uniswap UNI,6.61326,5040688596,115251893,0.97,15.08,22.64,45.0125,-85
18,Wrapped Bitcoin WBTC,21090.69,3871145191,92924974,1.84,22.39,25.93,68705.97,-69
19,Cosmos ATOM,12.7783,3659339360,166527634,1.43,15.44,44.56,44.5529,-71
20,Chainlink LINK,6.79425,3451479347,386044437,0.49,11.32,12.42,53.0122,-87
21,UNUS SED LEO LEO,3.49119,3330438559,1895784,1.63,1.1,-11.59,8.11487,-57
22,Monero XMR,174.737,3185020049,103178095,-0.21,9.3,21.92,519.759,-66
23,Ethereum Classic ETC,22.4533,3114407899,227585991,2.07,5.16,39.73,167.082,-87
24,Toncoin TON,2.31942,2832936592,33384283,2.87,4.56,-31.62,15.3746,-91
25,Bitcoin Cash BCH,124.998,2410604103,215965193,0.28,17.8,21.8,4355.62,-97
26,Stellar XLM,0.08942,2343118147,72878497,2.5,12.29,17.63,0.93814,-90
27,NEAR Protocol NEAR,2.34812,1999513243,215238168,9.44,38.48,69.21,20.3955,-88
28,OKB OKB,31.7463,1904775528,21379213,0.13,16.05,43.11,44.1095,-28
29,Cronos CRO,0.07478,1889135375,23833174,-0.5,18.97,33.8,0.95855,-92
30,ApeCoin APE,5.19701,1877418628,206636010,2.51,10.52,47.93,7.15066,-27
31,Lido DAO Token LDO,2.16485,1783774226,219013334,-2.89,13.17,120.94,6.95936,-69
32,Algorand ALGO,0.23851,1716486697,108568691,3.22,16.38,23.15,2.64524,-91
33,Filecoin FIL,4.72784,1701102792,398333269,1.54,32.66,51.36,236.965,-98
34,Quant QNT,135.007,1629899943,36269494,4.89,14.46,23.55,426.180,-68
35,VeChain VET,0.02136,1549136495,54586471,3.13,21.8,27.2,0.27435,-92
36,Internet Computer ICP,5.13419,1457444381,56024711,-0.61,20.89,38.74,342.229,-99
37,Hedera HBAR,0.05293,1333883885,34841187,2.13,20.44,21.75,0.56614,-91
38,Decentraland MANA,0.69382,1287089636,944899917,21.26,72.98,109.19,5.85265,-88
39,EOS EOS,1.06712,1152441038,110976988,-0.24,13.42,19.96,22.8904,-95
40,Flow (Dapper Labs) FLOW,1.09324,1132817934,140834993,1.6,45.17,40.96,43.8585,-98
41,Aave AAVE,80.4469,1133754292,174710040,7.11,31.32,44.51,666.029,-88
42,BitDAO BIT,0.53034,1108906435,19926837,0.44,17.33,84.56,3.08453,-83
43,Terra Classic LUNC,0.00018,1090789062,272593785,2.19,12.36,27.55,104.473,-100
44,The Sandbox SAND,0.71000,1064630473,536802111,10.18,33.26,49.65,8.59644,-92
45,Aptos APT,7.95760,1034487418,876388688,7.73,95.7,96.59,10.2229,-22
46,Elrond EGLD,41.1873,987141720,28449957,2.44,15.72,5.54,541.042,-92
47,Tezos XTZ,1.03177,952887229,50823913,1.29,23.56,22.37,12.1894,-92
48,Axie Infinity AXS,9.36260,940683556,150108541,3.03,27.02,36.34,164.876,-94
49,Theta THETA,0.93350,933504618,31711356,1.53,14.8,24.59,16.5852,-94
50,Chiliz CHZ,0.13972,928992978,138669038,2.18,22.54,17.27,0.89121,-84
51,Fantom FTM,0.33050,915092270,206222921,2.66,35.95,60.65,3.52667,-91
52,Paxos Standard USDP,1.00100,878965197,1442386,-0.23,-0.2,,1.09061,-8
53,Bitcoin SV BSV,45.0435,867810686,41134227,0.85,1.06,-1.16,495.937,-91
54,TrueUSD TUSD,1.00013,848910870,39727575,0.02,0.01,0.09,1.36449,-27
55,Huobi Token HT,5.18705,841514446,10198950,1.33,7.58,-6.01,39.6615,-87
56,KuCoin Token KCS,8.02135,789139503,1558195,2.87,16.79,24.01,28.8059,-72
57,The Graph GRT,0.08560,747558092,76697310,6.11,20.85,48.89,2.65929,-97
