,Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
51,Bitcoin SV BSV,39.1054,751931707,65284202,+0.05,-2.44,-16.5,495.937,-92
52,USDD USDD,0.98951,717723084,29935120,+0.4,+1.39,-0.87,1.00983,-2
53,KuCoin Token KCS,7.20157,708489173,929431,-1.35,-4.94,-24.1,28.8059,-75
54,Huobi Token HT,4.50365,690669019,8180979,-3.95,-15.98,-41.75,39.6615,-89
55,Axie Infinity AXS,7.10591,683548233,38099609,-1.7,+4.14,-22.7,164.876,-96
56,Maker MKR,653.077,638468753,22320347,-0.45,-14.46,-38.27,6302.63,-90
57,BitTorrent BTT,0.00000,631898901,12797475,-0.71,-6.34,+1114.32,0.01428,-100
58,Neutrino USD USDN,0.93050,632986184,2824678,-0.13,-0.22,-6,12.8042,-93
59,BitDAO BIT,0.30028,627860452,5966318,+0.15,-5.87,-30.16,3.08453,-90
60,Gemini Dollar GUSD,1.01365,626107927,2129314,-0.38,+0.57,+0.09,1.65168,-39
61,Aptos APT,4.71107,612438565,164038631,+2.24,-4.98,-34.93,10.2229,-54
62,Zcash ZEC,38.8730,610542396,30698843,-2.68,-0.11,-24.2,5941.80,-99
63,IOTA MIOTA,0.21801,605976115,6763110,-0.85,-3.22,-10.31,5.69002,-96
64,PAX Gold PAXG,1741.11,566226641,8983802,-0.89,-1.64,+7.34,192278.70,-99
65,PancakeSwap CAKE,3.82065,561468166,19827606,+0.22,-5.91,-12.74,44.1414,-91
66,eCash XEC,0.00003,555702468,5857542,+0.53,-4.31,-20.47,0.00039,-93
67,Synthetix SNX,1.74321,534341608,17855926,-0.18,-4.77,-21.49,28.8622,-94
68,Klaytn KLAY,0.17232,519962655,29492698,+1.96,-5.95,+30.98,2.96753,-94
69,Neo NEO,6.63810,468243673,15423320,-0.13,-1.07,-14.46,196.853,-97
70,Fantom FTM,0.17956,456986154,36980007,-0.24,-7.03,-9.28,3.52667,-95
71,BinaryX BNX,155.350,432417301,8724548,+1.92,+5.97,+6.71,227.596,-32
72,Fei USD FEI,0.98080,416837030,1993107,-0.38,-0.52,-2.59,1.03903,-8
73,The Graph GRT,0.06004,414289687,12061055,-2.06,-6.71,-22.38,2.65929,-98
74,Mina MINA,0.55371,412872577,8687892,-1.2,-1.28,+4.16,6.45649,-91
75,EthereumPoW ETHW,3.74234,401259813,13292966,-1.69,-10.2,-38.84,66.5061,-94
76,THORChain RUNE,1.18996,393504741,12045239,-1.03,+4.21,+81.52,21.2898,-54
77,Nexo NEXO,0.69664,390118594,5958514,-1.51,-1.51,-21.82,4.07458,-83
78,GateToken GT,3.55740,385141944,2219896,-2.65,-4.82,-18.21,13.2873,-73
79,Dash DASH,34.2316,376865413,48033571,-0.27,-2.99,-14.26,1642.22,-98
80,Lido DAO Token LDO,1.20254,376335564,31244754,-4.18,+4.81,-18.86,6.95936,-83
81,Arweave AR,10.0711,336321667,23244124,-0.23,+7.69,-0.69,97.3175,-90
82,Basic Attention Token BAT,0.22351,334295484,17400969,-0.56,-10.58,-17.98,1.91328,-88
83,Loopring LRC,0.24542,326440618,23570513,-1.5,-4.41,+0.42,3.77569,-93
84,GMX GMX,40.3999,322823370,8954300,+0.33,+12.65,+22.9,57.1237,-29
85,1inch 1INCH,0.52702,323835143,13663805,+1.12,-3.94,-6.21,8.38468,-94
86,Helium HNT,2.46429,322479429,2740362,-0.27,-7.69,-39.78,54.7195,-95
87,Stacks STX,0.23675,318273300,29341624,+1.36,-2.72,-19.69,3.24787,-93
88,XinFin XDC,0.02586,318240504,2324084,-0.02,-1.4,-17.21,0.19451,-87
89,Osmosis OSMO,1.11577,315164518,9217870,-0.45,-8.3,-2.29,3.22099,-65
90,Enjin Coin ENJ,0.30795,307953746,13410122,-0.54,-10.64,-25.49,4.83883,-94
91,Zilliqa ZIL,0.02188,296431014,22849305,+1.79,-2.6,-25.91,0.26024,-92
92,Kava KAVA,0.89874,292655420,13004312,-4.18,-8.45,-36.59,9.17019,-90
93,Curve DAO Token CRV,0.54991,292324974,31566092,-1.26,-16.4,-34.98,6.73730,-92
94,Casper CSPR,0.02769,291114893,9410181,+1.16,-18.75,-36.43,0.24006,-88
95,Decred DCR,19.7574,286792649,1130021,-0.64,-4.39,-22.34,250.901,-92
96,NEM XEM,0.03185,286634178,5578751,+0.21,-4.69,-13.74,2.09188,-98
97,Compound COMP,39.0027,283438613,11825311,-1.1,-1.42,-20.97,913.488,-96
98,Convex Finance CVX,3.89095,274240558,4646362,-1.68,-1.89,-21.61,60.5055,-94
99,Immutable X IMX,0.40318,273938155,6841243,-1.59,-7.44,-28.84,1.97054,-80
