,Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
0,Bitcoin BTC,16656.66,319992827482,24567601824,-1.28,-1.04,-12.66,68692.14,-76
1,Ethereum ETH,1209.47,148006941316,7437358798,-0.19,-4.7,-5.93,4864.11,-75
2,Tether USDT,0.99911,65885985250,32373112193,-0.03,+0.08,-0.15,1.21549,-18
3,USD Coin USDC,1.00021,44321153640,2580654572,-0.01,+0.01,-0.13,1.90620,-47
4,BNB BNB,273.265,43715088285,653274796,+0.89,-4.57,+1.76,2466.70,-89
5,Binance USD BUSD,1.00071,22903051985,5383982501,+0.03,-0.07,-0.07,1.17612,-15
6,XRP XRP,0.37885,19055718138,890265015,-1.41,+0.85,-15.3,3.84194,-90
7,Dogecoin DOGE,0.08445,11203462225,313084012,-1.42,+1.8,+42.21,0.75287,-89
8,Cardano ADA,0.32441,11162835607,216203807,-1.26,-6.69,-4.42,3.09503,-90
9,Polygon MATIC,0.87382,7632200628,289649845,-1.41,-14.71,+8.41,2.91460,-70
10,Polkadot DOT,5.62386,6392316649,125172143,-1.6,-1.88,-4.06,55.0043,-90
11,Dai DAI,1.00014,5892609584,211214102,-0.06,+0.01,-0.08,1.36678,-27
12,SHIBA INU SHIB,0.00001,4995162190,92612908,-0.81,-6.8,-8.68,0.00009,-90
13,Solana SOL,13.0856,4756761421,344264410,-3.93,-17.53,-53.18,259.705,-95
14,TRON TRX,0.05086,4687910483,264252528,+0.5,-7.74,-19.02,0.30036,-83
15,Litecoin LTC,62.0100,4442519132,598915620,-1.02,+2.4,+20.88,412.701,-85
16,Uniswap UNI,5.80442,4424183275,100369765,-0.18,-2.69,-4.19,45.0125,-87
17,UNUS SED LEO LEO,4.22595,4031359197,3238578,+4.17,+10.08,+2.09,8.11487,-48
18,Wrapped Bitcoin WBTC,16613.39,3917808773,122853408,-1.19,-1.29,-12.71,68705.97,-76
19,Avalanche AVAX,12.8636,3866721484,125753803,-1.77,-6.14,-14.19,145.665,-91
20,Chainlink LINK,6.13317,3015066161,234583418,-3.58,-10.94,-7.7,53.0122,-88
21,Cosmos ATOM,9.93881,2846180649,98657628,-1.31,-12.8,-12.4,44.5529,-78
22,Ethereum Classic ETC,19.3945,2675781717,198682357,-2.01,-8.29,-9.91,167.082,-88
23,Monero XMR,133.095,2422659645,55326441,-0.44,+3.89,-6.5,519.759,-74
24,Stellar XLM,0.08867,2277934380,47994546,-2.6,-5.47,-19.06,0.93814,-91
25,Toncoin TON,1.78401,2178987204,9937847,-0.72,+16.01,-8.8,15.3746,-91
26,Algorand ALGO,0.30342,2156001911,314783367,+12.63,+3.84,+0.96,2.64524,-89
27,Bitcoin Cash BCH,104.443,2008745399,167740642,-0.25,+3.03,-1.84,4355.62,-98
28,Cronos CRO,0.07152,1806689132,33591033,+2.15,-15.37,-29.85,0.95855,-92
29,Chiliz CHZ,0.26522,1627648053,911495214,+13.45,+21.14,+59.94,0.89121,-70
30,NEAR Protocol NEAR,1.75822,1455529696,109598925,-4.71,-15,-38.02,20.3955,-91
31,Quant QNT,117.492,1418454149,33585590,-2.41,+3,-32.31,426.180,-72
32,Filecoin FIL,4.31582,1393140024,77993621,-0.88,-1.79,-12.56,236.965,-98
33,VeChain VET,0.01915,1388398725,32676736,-1.8,-8.83,-12.49,0.27435,-93
34,Flow (Dapper Labs) FLOW,1.21270,1256602471,21729493,+0.44,-4.44,-15.38,43.8585,-97
35,OKB OKB,20.3494,1220962528,16486736,+7.23,+5.37,+27.58,44.1095,-54
36,Chain XCN,0.05270,1131622551,20390853,+6.82,+7.06,-22.05,0.09397,-43
37,Hedera HBAR,0.04799,1102276854,13855886,-0.99,+0.89,-17.31,0.56614,-92
38,Terra Classic LUNC,0.00018,1053534625,133357493,+1.31,-5.03,-26.53,104.473,-100
39,Internet Computer ICP,3.80320,1042548716,19514785,-0.57,-3.54,-20.89,342.229,-99
40,Elrond EGLD,42.7223,1012816239,19836292,-2.09,-5.35,-26.62,541.042,-92
41,Trust Wallet Token TWT,2.33863,974389504,208728068,+6.86,+97.18,+116.29,2.73925,-15
42,EOS EOS,0.89749,964407911,97543650,-0.89,-2.41,-13.88,22.8904,-96
43,Paxos Standard USDP,1.00636,951658152,2877868,+0.89,+0.82,-0.83,1.09061,-8
44,ApeCoin APE,3.10753,953623030,162930487,+5.82,-0.01,-24.84,7.15066,-57
45,Tezos XTZ,0.97800,896555793,16905818,-0.86,-7.41,-25.99,12.1894,-92
46,Theta THETA,0.89587,895874316,16501416,+0.31,-4.26,-8.29,16.5852,-95
47,The Sandbox SAND,0.57537,862746018,78328466,-1.73,-7.3,-19.93,8.59644,-93
48,TrueUSD TUSD,1.00021,861323656,28795428,-0.03,+0.05,-0.24,1.36449,-26
49,Aave AAVE,58.0364,817918322,58612919,-2.67,-7.25,-28.29,666.029,-91
50,Decentraland MANA,0.41169,763716221,81943256,-2.08,-15.65,-31.27,5.85265,-93
