Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
Mina MINA,0.74296,619286338,142130496,-10.45,-11.72,45.97,6.45649,-88
Synthetix SNX,2.38137,599281556,63684917,-11.49,-5.24,31.45,28.8622,-92
Klaytn KLAY,0.19291,596982006,44878639,-4.77,-3.93,9.86,2.96753,-93
Gemini Dollar GUSD,0.98146,595793520,899919,-0.8,-0.45,-0.4,1.65168,-39
Trust Wallet Token TWT,1.41033,587611823,44014102,-8.41,-14.47,-6.01,2.73925,-48
Optimism OP,2.42999,570435994,590852263,-12.82,-13.16,88.56,3.20510,-24
THORChain RUNE,1.66699,545199613,71859680,-11.55,-10.54,81.52,21.2898,-54
Rocket Pool RPL,49.9526,513499905,92900951,20.92,19.18,84.39,60.3210,-17
GMX GMX,60.6140,512576289,54581392,-9.87,-7.35,31.46,76.9188,-21
PAX Gold PAXG,1845.54,500626749,12945974,-0.95,-3.14,-0.75,192278.70,-99
Osmosis OSMO,1.00945,497247605,33604915,-9.08,-4.75,27.67,3.22099,-69
SingularityNET AGIX,0.41280,494991899,379816797,-10.72,114.19,366.51,1.85891,-78
GateToken GT,4.23650,458664798,1400888,-4.33,-7.5,27.22,13.2873,-68
Loopring LRC,0.33415,444462237,181191682,-10.78,-18.07,46.02,3.77569,-91
Enjin Coin ENJ,0.44183,441830325,61452250,-12.48,-4.26,47.97,4.83883,-91
Zilliqa ZIL,0.02701,428660680,77402692,-11.93,-5.38,16.81,0.26024,-90
Convex Finance CVX,5.72477,425771129,18356566,-10.21,-15.12,65.42,60.5055,-91
Fei USD FEI,0.99650,423508570,630428,1.45,-0.04,2.41,1.04620,-3
Casper CSPR,0.03941,423213370,14170497,-8.63,9.07,31.7,0.24006,-84
1inch 1INCH,0.52832,418559586,76149560,-6.64,-2.51,21.68,8.38468,-94
Nexo NEXO,0.72615,406642486,7413931,-2.92,-9.88,-0.77,4.07458,-82
Basic Attention Token BAT,0.26619,397910385,48795687,-12.67,-0.54,31.93,1.91328,-86
dYdX DYDX,2.54128,397090367,299226864,-13.73,-21.8,84.72,14.8252,-83
EthereumPoW ETHW,3.67226,395939269,32462292,-13.23,-22.59,24.17,66.5061,-94
Stacks STX,0.28380,385899826,22761517,-8.9,-3.5,20.49,3.24787,-91
Terra LUNA,1.76995,377688074,97578025,-13.71,-14.71,-1.97,104.039,-100
XinFin XDC,0.02637,364331063,2451776,-1.6,-9.83,0.66,0.19451,-87
Oasis Network ROSE,0.06355,363860016,127797266,-10.71,15.4,55.93,0.59834,-89
Compound COMP,49.2844,358157248,51492945,-11.82,-6.84,1.87,127.759,-100
Decred DCR,24.1208,355132160,9737063,1.51,4.55,21.09,250.901,-90
