,Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
35,Chiliz CHZ,0.18118,1111917622,653879438,-7.85,-8.69,-0.98,0.89121,-80
36,Hedera HBAR,0.04634,1064380545,22341824,0.43,-2.56,-22.6,0.56614,-92
37,Internet Computer ICP,3.61489,991196710,38042812,1.15,-8.48,-27.35,342.229,-99
38,ApeCoin APE,3.16710,971902690,183395958,5.71,7.7,-31.46,7.15066,-56
39,Elrond EGLD,40.4782,960125268,30733937,-2.94,-8.85,-28.65,541.042,-93
40,Paxos Standard USDP,1.00461,949999383,5423754,0.84,0.25,0.14,1.09061,-8
41,Chain XCN,0.04285,920102552,9782357,-4.04,-13.37,-26.88,0.09397,-55
42,EOS EOS,0.84911,912659461,154373247,-2.91,-7.42,-21.25,22.8904,-96
43,Terra Classic LUNC,0.00015,902221063,141642056,-3.93,-12.89,-37.24,104.473,-100
44,Tezos XTZ,0.93840,860580227,27123978,-3.38,-7.6,-30.99,12.1894,-92
45,TrueUSD TUSD,1.00024,855265944,38516307,0.07,-0.12,0.64,1.36449,-26
46,Theta THETA,0.82901,829008628,18890022,-1.87,-8.05,-18.37,16.5852,-95
47,Trust Wallet Token TWT,1.93537,806371962,113673874,-1.6,-12.79,73.56,2.73925,-29
48,The Sandbox SAND,0.53561,803135141,145110661,-0.87,-9.07,-28.78,8.59644,-94
49,Aave AAVE,55.4884,782008637,77125902,-2.49,-6.62,-37.27,666.029,-92
50,Huobi Token HT,4.92736,755648593,21096945,15.01,-1.7,-43.83,39.6615,-88
51,USDD USDD,0.99042,718382979,36021903,0.16,0.81,-0.43,1.00983,-2
52,Bitcoin SV BSV,37.1640,714704689,47683273,-2.31,-7.02,-21.42,495.937,-93
53,Decentraland MANA,0.37266,691323269,96026609,-2.49,-15.66,-39.53,5.85265,-94
54,KuCoin Token KCS,6.53018,642437770,2485400,-5.79,-15.05,-31.77,28.8059,-77
55,Maker MKR,639.412,625108904,26357665,-1.56,-8.45,-34.39,6302.63,-90
56,Neutrino USD USDN,0.90618,616441645,137151,-1.97,-2.65,-7.79,12.8042,-93
57,Gemini Dollar GUSD,1.00785,619807333,4626048,0.19,0.05,-0.12,1.65168,-39
58,Axie Infinity AXS,6.37794,613521709,49762957,-1.02,-12.07,-26.25,164.876,-96
59,BitTorrent BTT,0.00000,606252966,20627700,-0.67,-5.78,-99.92,0.01428,-100
60,IOTA MIOTA,0.21282,591537822,32043968,1.31,-2.47,-13.57,5.69002,-96
61,Zcash ZEC,37.6383,592910834,56315176,-1.02,-7.85,-28.5,5941.80,-99
62,BitDAO BIT,0.27576,576604273,6728225,-3.89,-10.49,-35.25,3.08453,-91
63,PAX Gold PAXG,1736.59,564756280,20474566,-0.64,-0.99,5.18,192278.70,-99
64,eCash XEC,0.00003,539261066,10806116,-3.92,-3.36,-23.68,0.00039,-93
65,PancakeSwap CAKE,3.64005,530481196,29961501,-3.16,-8.94,-18.22,44.1414,-92
66,Aptos APT,4.02541,523303925,130751551,-0.56,-4.05,-58.07,10.2229,-61
67,Synthetix SNX,1.60753,492751284,26975101,-3.26,-9.36,-28.81,28.8622,-94
68,Klaytn KLAY,0.16141,487314563,28425828,-4.8,-7.06,-10.17,2.96753,-95
69,Neo NEO,6.46162,455794828,30704521,-0.14,-4.04,-23.55,196.853,-97
70,BinaryX BNX,158.624,441969999,12250457,2.63,7.64,9.58,227.596,-30
71,Fantom FTM,0.17056,434068498,50946187,0.23,-6.62,-17.98,3.52667,-95
72,Fei USD FEI,1.00119,425503313,7223579,0.69,0.91,0.93,1.04620,-4
73,Mina MINA,0.51724,387337143,12998851,-2.04,-3.95,-4.17,6.45649,-92
74,Dash DASH,34.8206,383492792,53683223,0.98,1.01,-15.9,1642.22,-98
75,Nexo NEXO,0.67150,376039384,9024160,-1.25,-5.5,-27.24,4.07458,-83
76,The Graph GRT,0.05391,371977190,20409302,-5.24,-16.21,-32.09,2.65929,-98
77,THORChain RUNE,1.11130,367494273,24555714,-2.41,-7.78,81.52,21.2898,-54
78,GateToken GT,3.37880,365805522,2106473,-3.01,-7.82,-23.45,13.2873,-75
79,EthereumPoW ETHW,3.14955,337821035,40009074,-1.94,-17.31,-49.02,66.5061,-95
80,Lido DAO Token LDO,1.11121,347755256,21542312,0.37,-2.82,-27.81,6.95936,-84
81,GMX GMX,41.2747,329813484,26556154,-1.37,-5.83,13.26,57.1237,-27
82,Basic Attention Token BAT,0.21934,328055379,30515553,0.35,-3.39,-21.79,1.91328,-89
83,1inch 1INCH,0.50686,311485650,20619858,0.55,-1.56,-11.69,8.38468,-94
84,Loopring LRC,0.22891,304477507,26983074,-1.1,-7.59,-9.23,3.77569,-94
85,Arweave AR,9.07383,303018006,37469605,-3.02,0.11,-12.3,97.3175,-91
86,XinFin XDC,0.02441,300343148,2806790,-2.46,-3.7,-19.61,0.19451,-87
87,Stacks STX,0.21670,291386309,8518579,-5.34,-0.81,-28.82,3.24787,-93
88,Casper CSPR,0.02767,291137311,9166519,1.01,-5.35,-40.27,0.24006,-88
89,Osmosis OSMO,1.02140,288509180,12850906,-1.94,-11.23,-14.73,3.22099,-68
90,Zilliqa ZIL,0.02107,285699178,36872404,1.01,0.01,-27.61,0.26024,-92
91,Helium HNT,2.18343,286214068,3953371,-5.0,-18.33,-47.8,54.7195,-96
92,NEM XEM,0.03151,283618391,81796135,2.35,-0.06,-15.4,2.09188,-98
93,Enjin Coin ENJ,0.28430,284300366,25306163,-2.47,-9.19,-31.55,4.83883,-94
94,Immutable X IMX,0.41191,279870274,20107740,5.66,-4.98,-27.25,1.97054,-79
95,Kava KAVA,0.83511,274096929,110431334,1.95,-7.06,-43.48,9.17019,-91
96,Compound COMP,37.4457,272123768,15670257,0.55,-3.58,-26.2,913.488,-96
97,Decred DCR,18.6534,270910532,1262373,-1.48,-7.15,-30.24,250.901,-93
98,Curve DAO Token CRV,0.50952,270854773,57609306,-0.72,-17.23,-43.51,6.73730,-92
99,Holo HOT,0.00145,251460756,18054393,-3.46,-6.69,-8.41,0.28971,-99
