,Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
0,Bitcoin BTC,15808.99,303750244250,37099731214,-2.64,-5.49,-18.53,68692.14,-77
1,Ethereum ETH,1102.27,134888810005,13994691722,-2.99,-12.31,-18.63,4864.11,-77
2,Tether USDT,0.99899,65440337387,51295110005,0.01,0.01,0.03,1.21549,-18
3,USD Coin USDC,1.00017,44052404959,4068666671,0.02,-0.05,0.18,1.90620,-47
4,BNB BNB,256.055,40961784186,1057087819,-2.13,-8.67,-6.81,2466.70,-90
5,Binance USD BUSD,1.00079,22827361286,8881284332,0.01,-0.08,0.17,1.17612,-15
6,XRP XRP,0.35702,17957716236,2008563580,-0.07,-4.63,-23.0,3.84194,-91
7,Cardano ADA,0.30551,10516086077,385493377,-1.7,-8.36,-14.83,3.09503,-90
8,Dogecoin DOGE,0.07486,9931628455,626871715,-1.83,-13.71,24.1,0.75287,-90
9,Polygon MATIC,0.80093,6995540754,560360289,0.55,-14.37,-10.16,2.91460,-72
10,Polkadot DOT,5.19600,5915556741,247402892,-1.28,-11.44,-11.95,55.0043,-91
11,Dai DAI,1.00039,5822793935,393293603,0.07,-0.05,0.16,1.36678,-27
12,TRON TRX,0.05211,4803290864,536648479,4.27,2.14,-15.56,0.30036,-83
13,SHIBA INU SHIB,0.00001,4661875194,200971015,-2.37,-7.02,-15.06,0.00009,-90
14,Litecoin LTC,61.4283,4402171277,820329860,-2.77,6.67,14.77,412.701,-85
15,Solana SOL,11.6921,4240204520,484623159,-3.1,-17.01,-59.62,259.705,-95
16,Uniswap UNI,5.16081,3933615355,143625206,-4.6,-16.21,-17.89,45.0125,-89
17,Wrapped Bitcoin WBTC,15749.49,3708332212,287211020,-2.47,-5.6,-18.91,68705.97,-77
18,UNUS SED LEO LEO,3.85018,3672895512,2401556,-12.71,0.02,-7.4,8.11487,-52
19,Avalanche AVAX,11.8380,3558900930,182894471,-1.69,-10.67,-27.27,145.665,-92
20,Chainlink LINK,5.91124,2905967763,332390903,2.5,-6.36,-15.05,53.0122,-89
21,Cosmos ATOM,9.09391,2604225913,133988383,-0.34,-12.28,-23.44,44.5529,-80
22,Ethereum Classic ETC,18.0331,2488902247,247653102,0.47,-11.93,-21.67,167.082,-89
23,Monero XMR,126.667,2305819450,122816425,-2.86,-2.92,-12.48,519.759,-76
24,Stellar XLM,0.08421,2163903005,77955477,-2.02,-7.83,-23.95,0.93814,-91
25,Toncoin TON,1.71868,2099193305,6355908,0.42,2.39,-26.69,15.3746,-92
26,Bitcoin Cash BCH,103.859,1997787456,303484618,-1.29,-0.15,-5.45,4355.62,-98
27,Algorand ALGO,0.24061,1710858361,164861813,-5.33,-8.21,-23.21,2.64524,-91
28,Cronos CRO,0.06407,1618503171,32565984,-1.15,-8.78,-39.25,0.95855,-93
29,Filecoin FIL,4.16757,1350012240,116824154,0.17,-4.06,-17.89,236.965,-98
30,NEAR Protocol NEAR,1.54766,1282991695,201391039,0.34,-21.22,-47.75,20.3955,-92
31,VeChain VET,0.01772,1285168963,45245835,-0.89,-7.92,-21.37,0.27435,-94
32,Quant QNT,103.342,1247616690,52721858,-4.83,-11.99,-40.72,426.180,-76
33,OKB OKB,19.9118,1194708129,16571752,-0.47,5.89,27.18,44.1095,-55
34,Flow (Dapper Labs) FLOW,1.11369,1154000481,32079320,-2.85,-7.97,-25.86,43.8585,-97
