rank,Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
68,PancakeSwap CAKE,3.82466,699678306,39542885,0.16,-0.13,-10.28,44.1414,-91
69,GMX GMX,80.5802,690080691,97729221,1.14,5.91,2.39,86.1050,-6
70,Maker MKR,684.479,669167757,64626868,1.73,-21.23,-11.89,6302.63,-89
71,Huobi Token HT,4.02323,652703735,9447757,0.58,-5.94,-34.58,39.6615,-90
72,Dash DASH,57.6436,641038422,98808716,3.22,-2.36,-20.12,1642.22,-96
73,Gemini Dollar GUSD,1.00661,611064388,766176,0.06,1.46,-0.72,1.65168,-39
74,eCash XEC,0.00003,608038737,9676728,0.05,-1.63,-19.85,0.00039,-92
75,IOTA MIOTA,0.21691,602912128,10865167,1.27,-2.1,-18.32,5.69002,-96
76,Frax Share FXS,8.07380,601856884,34792025,1.61,-11.9,-25.19,43.2974,-81
77,BitTorrent BTT,0.00000,593593973,24323883,0.73,-7.75,-19.26,0.01428,-100
78,Zcash ZEC,36.1980,591050778,42940801,4.69,-0.78,-27.71,5941.80,-99
79,GateToken GT,5.34549,578730236,1926883,-1.42,-1.56,6.42,13.2873,-60
80,SingularityNET AGIX,0.46557,561161440,163168041,0.25,-13.5,19.96,1.85891,-75
81,XinFin XDC,0.03970,548737613,10774823,-8.89,31.53,44.24,0.19451,-79
82,PAX Gold PAXG,1951.34,529326800,16412243,-1.93,2.02,7.41,192278.70,-99
83,Trust Wallet Token TWT,1.23108,512930852,16963374,2.05,-3.7,-16.59,2.73925,-55
84,RenderToken RNDR,1.31052,473679953,60375358,-2.23,-8.78,-23.04,8.71818,-85
85,THORChain RUNE,1.44224,471693606,44213271,2.54,-1.45,81.52,21.2898,-54
86,Loopring LRC,0.35339,470051947,48314180,3.79,1.37,-19.49,3.77569,-91
87,Zilliqa ZIL,0.02842,450902617,43829647,3.21,-3.35,-16.03,0.26024,-89
88,1inch 1INCH,0.53224,444055268,33158320,1.98,-0.57,-12.79,8.38468,-94
89,Kava KAVA,0.94372,425170702,77175042,3.42,-16.72,-3.14,9.17019,-90
90,Convex Finance CVX,5.55327,420054116,9087895,2.32,-7.25,-17.94,60.5055,-91
91,Fei USD FEI,0.98062,416758291,590408,-0.85,-1.67,-3.06,1.08476,-9
92,Osmosis OSMO,0.82625,407001942,6907022,1.48,-8.38,-23.3,3.22099,-74
93,Enjin Coin ENJ,0.40394,403940465,28489849,0.68,-8.0,-22.11,4.83883,-92
94,Casper CSPR,0.03725,403872820,9132441,1.87,-0.8,-4.47,0.24006,-84
95,dYdX DYDX,2.54002,396893794,148948030,1.14,-3.74,-12.49,14.8252,-83
96,MAGIC MAGIC,1.86589,396085293,427321993,-1.44,11.35,-0.15,2.28482,-19
97,Mask Network MASK,5.15103,392250652,196946652,-6.49,43.95,21.97,6.73248,-23
98,ssv.network SSV,38.5933,385933374,37741926,7.28,-5.51,17.86,49.7628,-22
99,Nexo NEXO,0.68375,382902066,9644269,-4.75,6.16,-8.26,4.07458,-83
